cap_shape,cap_color,bruises,odor,gill_spacing,gill_color,stalk_shape,habitat,age_in_days,class
bell,white,yes,pungent,crowded,buff,enlarging,grasses,2,poisonous
bell,gray,no,none,crowded,brown,enlarging,woods,9,poisonous
flat,gray,no,almond,crowded,black,tapering,grasses,11,edible
knobbed,brown,yes,pungent,crowded,gray,tapering,woods,13,poisonous
sunken,white,no,foul,distant,black,tapering,grasses,9,edible
bell,yellow,yes,foul,crowded,black,tapering,grasses,7,edible
sunken,brown,no,foul,close,chocolate,tapering,grasses,11,edible
sunken,yellow,no,fishy,crowded,black,tapering,urban,7,edible
conical,brown,yes,almond,close,buff,tapering,urban,5,edible
bell,white,yes,foul,close,chocolate,tapering,grasses,15,poisonous
bell,gray,yes,foul,crowded,brown,tapering,urban,7,edible
conical,red,no,foul,crowded,gray,tapering,urban,14,poisonous
flat,brown,no,fishy,distant,chocolate,enlarging,grasses,3,edible
bell,gray,no,almond,crowded,buff,tapering,urban,7,poisonous
conical,red,no,none,crowded,chocolate,tapering,grasses,1,poisonous
bell,white,yes,almond,close,chocolate,tapering,urban,1,poisonous
knobbed,white,yes,almond,distant,chocolate,tapering,paths,3,edible
sunken,red,yes,pungent,close,brown,tapering,urban,12,edible
conical,yellow,no,none,crowded,gray,tapering,meadows,4,edible
conical,red,yes,fishy,close,chocolate,enlarging,woods,3,edible
sunken,white,yes,foul,distant,gray,tapering,woods,4,edible
conical,red,yes,pungent,distant,black,tapering,meadows,6,edible
flat,yellow,yes,none,crowded,gray,enlarging,paths,13,edible
conical,white,yes,none,close,brown,enlarging,woods,9,edible
bell,yellow,no,almond,crowded,gray,enlarging,meadows,14,poisonous
conical,gray,yes,pungent,close,brown,enlarging,meadows,4,edible
bell,red,yes,foul,close,chocolate,tapering,urban,13,edible
bell,yellow,yes,foul,crowded,brown,enlarging,meadows,3,edible
bell,white,yes,none,close,chocolate,tapering,paths,5,edible
knobbed,gray,yes,almond,crowded,chocolate,tapering,paths,13,poisonous
conical,yellow,no,pungent,distant,gray,enlarging,paths,3,poisonous
flat,yellow,no,fishy,distant,black,enlarging,grasses,7,edible
flat,white,no,pungent,distant,black,enlarging,urban,14,edible
bell,brown,no,foul,close,chocolate,tapering,woods,11,edible
knobbed,yellow,no,foul,distant,chocolate,enlarging,paths,7,poisonous
conical,white,no,pungent,close,black,tapering,meadows,5,poisonous
conical,red,yes,none,distant,black,tapering,meadows,15,edible
flat,brown,yes,none,distant,buff,tapering,woods,12,edible
flat,brown,yes,none,crowded,brown,enlarging,meadows,4,edible
flat,white,no,none,crowded,gray,tapering,urban,14,edible
bell,white,yes,foul,close,buff,tapering,urban,10,edible
bell,gray,yes,almond,close,chocolate,tapering,paths,2,poisonous
conical,brown,yes,pungent,close,buff,enlarging,paths,7,edible
flat,brown,no,fishy,crowded,chocolate,enlarging,meadows,5,edible
flat,gray,no,fishy,crowded,black,tapering,woods,7,edible
conical,gray,yes,pungent,distant,black,enlarging,grasses,2,poisonous
bell,red,no,pungent,close,brown,tapering,woods,11,poisonous
bell,yellow,no,almond,close,brown,enlarging,paths,11,poisonous
sunken,brown,yes,none,close,buff,tapering,grasses,12,edible
flat,brown,yes,almond,close,black,enlarging,urban,7,edible
sunken,red,yes,fishy,crowded,black,tapering,paths,14,edible
knobbed,yellow,no,none,close,black,tapering,urban,7,edible
bell,yellow,no,foul,distant,black,tapering,grasses,13,poisonous
conical,gray,no,foul,distant,gray,enlarging,meadows,9,poisonous
flat,red,yes,pungent,close,buff,tapering,paths,8,edible
knobbed,red,no,none,close,buff,enlarging,meadows,10,edible
bell,yellow,no,none,crowded,brown,enlarging,grasses,11,edible
conical,brown,yes,none,distant,gray,tapering,urban,2,poisonous
conical,yellow,yes,foul,distant,gray,tapering,meadows,13,poisonous
bell,white,no,foul,crowded,black,enlarging,urban,13,edible
sunken,red,no,foul,distant,buff,enlarging,woods,14,edible
sunken,brown,no,pungent,crowded,brown,enlarging,paths,6,edible
bell,gray,yes,foul,distant,gray,enlarging,grasses,12,edible
knobbed,red,no,almond,crowded,gray,enlarging,paths,5,edible
knobbed,yellow,no,pungent,close,chocolate,enlarging,urban,1,poisonous
flat,brown,yes,foul,crowded,buff,tapering,grasses,10,edible
flat,gray,no,none,close,chocolate,tapering,paths,15,poisonous
flat,gray,no,none,crowded,black,tapering,paths,1,poisonous
flat,yellow,yes,none,distant,gray,enlarging,woods,12,edible
bell,red,yes,none,crowded,buff,enlarging,woods,13,edible
flat,yellow,no,almond,distant,buff,enlarging,paths,7,poisonous
bell,brown,no,almond,distant,chocolate,enlarging,urban,13,poisonous
sunken,red,no,foul,close,brown,tapering,meadows,6,poisonous
flat,red,no,foul,crowded,gray,enlarging,urban,1,edible
knobbed,white,yes,almond,distant,chocolate,tapering,grasses,4,poisonous
flat,red,no,fishy,close,chocolate,enlarging,woods,15,edible
sunken,red,yes,almond,close,chocolate,enlarging,woods,15,poisonous
bell,red,no,foul,crowded,gray,tapering,meadows,2,poisonous
sunken,white,no,none,crowded,chocolate,tapering,grasses,1,poisonous
conical,red,no,fishy,crowded,black,tapering,meadows,15,edible
flat,yellow,yes,pungent,distant,brown,tapering,grasses,1,poisonous
bell,brown,yes,pungent,close,black,enlarging,urban,6,edible
bell,brown,no,none,close,brown,enlarging,urban,14,poisonous
knobbed,gray,yes,fishy,distant,black,tapering,grasses,11,edible
knobbed,white,no,fishy,close,chocolate,tapering,paths,2,poisonous
flat,brown,yes,pungent,crowded,chocolate,enlarging,grasses,7,edible
flat,gray,no,foul,distant,buff,enlarging,paths,3,edible
knobbed,white,no,pungent,crowded,brown,enlarging,grasses,8,poisonous
conical,brown,yes,fishy,close,buff,enlarging,urban,10,edible
knobbed,yellow,yes,pungent,distant,gray,enlarging,paths,2,edible
conical,brown,no,none,crowded,gray,enlarging,urban,14,edible
conical,red,yes,foul,distant,black,tapering,meadows,3,edible
flat,gray,yes,almond,crowded,black,tapering,paths,8,edible
bell,gray,yes,pungent,distant,gray,enlarging,paths,1,poisonous
knobbed,yellow,no,foul,distant,buff,enlarging,meadows,7,edible
conical,brown,yes,foul,distant,gray,tapering,woods,12,poisonous
bell,brown,no,almond,close,chocolate,enlarging,meadows,14,edible
knobbed,gray,yes,fishy,distant,buff,enlarging,meadows,5,poisonous
knobbed,red,no,almond,close,buff,enlarging,paths,1,poisonous
flat,brown,yes,pungent,close,chocolate,enlarging,woods,12,edible
conical,white,yes,almond,distant,buff,enlarging,meadows,5,poisonous
knobbed,white,no,fishy,crowded,chocolate,tapering,meadows,11,poisonous
sunken,brown,yes,foul,crowded,gray,enlarging,urban,13,edible
flat,red,yes,none,distant,gray,enlarging,paths,2,poisonous
bell,yellow,yes,none,crowded,brown,enlarging,urban,14,edible
flat,gray,no,foul,close,gray,enlarging,meadows,9,poisonous
sunken,red,yes,pungent,close,brown,enlarging,woods,11,edible
flat,brown,no,almond,close,buff,tapering,meadows,6,poisonous
knobbed,gray,yes,fishy,crowded,chocolate,enlarging,paths,1,edible
conical,gray,no,none,close,chocolate,enlarging,urban,3,poisonous
conical,brown,yes,foul,distant,buff,enlarging,woods,12,edible
bell,yellow,yes,foul,close,black,tapering,paths,1,edible
flat,red,no,pungent,crowded,buff,tapering,paths,11,edible
flat,yellow,yes,fishy,distant,chocolate,enlarging,grasses,11,edible
flat,gray,no,pungent,distant,buff,enlarging,urban,15,poisonous
conical,white,yes,fishy,crowded,brown,enlarging,woods,14,poisonous
conical,brown,yes,almond,crowded,black,enlarging,urban,15,edible
knobbed,brown,no,foul,crowded,gray,enlarging,woods,12,edible
conical,white,yes,none,close,buff,tapering,grasses,10,poisonous
sunken,yellow,no,fishy,distant,chocolate,tapering,meadows,6,poisonous
conical,white,yes,pungent,distant,buff,tapering,paths,10,edible
knobbed,brown,no,almond,close,black,enlarging,paths,4,edible
flat,white,yes,almond,close,buff,enlarging,woods,4,poisonous
knobbed,brown,no,fishy,crowded,black,enlarging,meadows,14,edible
bell,brown,no,fishy,close,brown,enlarging,grasses,9,poisonous
flat,yellow,no,almond,close,chocolate,enlarging,meadows,13,edible
knobbed,white,yes,pungent,close,gray,tapering,paths,6,edible
bell,red,no,pungent,crowded,brown,enlarging,woods,4,edible
bell,red,yes,almond,distant,black,enlarging,urban,1,edible
conical,yellow,no,almond,close,brown,enlarging,woods,14,poisonous
bell,white,yes,pungent,close,brown,enlarging,grasses,13,poisonous
knobbed,gray,yes,pungent,crowded,brown,enlarging,paths,8,edible
bell,gray,no,none,distant,gray,tapering,grasses,9,poisonous
flat,gray,no,almond,distant,gray,tapering,meadows,2,poisonous
flat,red,yes,fishy,distant,chocolate,tapering,grasses,9,edible
knobbed,white,no,fishy,crowded,brown,enlarging,urban,13,poisonous
flat,white,no,foul,distant,chocolate,enlarging,meadows,5,edible
knobbed,brown,yes,almond,distant,brown,tapering,meadows,2,poisonous
flat,gray,yes,fishy,close,buff,tapering,grasses,6,poisonous
conical,yellow,no,none,distant,black,tapering,woods,3,edible
flat,brown,no,foul,crowded,buff,tapering,meadows,3,poisonous
knobbed,red,no,foul,distant,black,enlarging,paths,7,poisonous
knobbed,red,no,almond,crowded,brown,tapering,woods,14,edible
conical,red,yes,pungent,distant,gray,tapering,grasses,10,poisonous
conical,red,no,almond,distant,black,tapering,paths,3,edible
knobbed,brown,yes,none,close,brown,enlarging,grasses,5,poisonous
flat,red,yes,pungent,close,brown,tapering,woods,9,poisonous
conical,yellow,no,fishy,crowded,gray,tapering,paths,6,poisonous
flat,yellow,yes,almond,close,buff,enlarging,grasses,4,edible
flat,brown,yes,almond,distant,brown,tapering,woods,8,poisonous
conical,brown,no,pungent,close,chocolate,tapering,urban,9,poisonous
knobbed,red,no,none,distant,chocolate,tapering,paths,14,poisonous
conical,white,no,almond,close,buff,tapering,urban,10,edible
bell,brown,no,pungent,distant,brown,enlarging,paths,9,poisonous
sunken,yellow,no,foul,close,brown,enlarging,woods,8,edible
flat,yellow,no,none,close,chocolate,enlarging,paths,1,edible
knobbed,white,yes,foul,crowded,chocolate,enlarging,paths,10,edible
knobbed,yellow,yes,foul,distant,black,enlarging,woods,12,poisonous
conical,yellow,no,foul,crowded,black,enlarging,urban,3,edible
sunken,red,no,pungent,distant,black,tapering,meadows,6,poisonous
sunken,white,yes,almond,crowded,brown,enlarging,woods,8,poisonous
flat,red,no,pungent,crowded,brown,tapering,urban,12,poisonous
bell,gray,no,none,distant,brown,enlarging,meadows,12,edible
sunken,gray,yes,fishy,distant,black,enlarging,paths,11,poisonous
knobbed,gray,yes,none,close,gray,tapering,meadows,4,poisonous
sunken,brown,no,foul,distant,brown,enlarging,paths,5,poisonous
knobbed,yellow,no,pungent,close,buff,enlarging,grasses,14,edible
sunken,gray,yes,fishy,close,brown,enlarging,meadows,15,poisonous
sunken,gray,no,almond,distant,gray,tapering,meadows,14,edible
flat,gray,yes,foul,close,buff,tapering,paths,1,edible
sunken,brown,no,almond,close,buff,tapering,woods,10,edible
sunken,white,yes,fishy,close,black,tapering,meadows,3,poisonous
flat,white,yes,fishy,crowded,brown,tapering,grasses,13,poisonous
sunken,red,no,pungent,distant,gray,tapering,urban,9,poisonous
flat,brown,no,foul,crowded,gray,enlarging,paths,11,poisonous
conical,yellow,no,almond,distant,chocolate,tapering,paths,5,edible
conical,brown,yes,fishy,distant,chocolate,enlarging,urban,12,edible
sunken,red,yes,pungent,close,gray,enlarging,meadows,4,edible
conical,red,yes,fishy,distant,brown,tapering,woods,8,poisonous
sunken,white,no,almond,crowded,buff,tapering,meadows,6,poisonous
conical,yellow,no,fishy,distant,gray,enlarging,grasses,10,edible
sunken,red,yes,foul,crowded,chocolate,enlarging,paths,7,poisonous
bell,brown,yes,almond,close,gray,enlarging,woods,3,poisonous
flat,gray,no,almond,crowded,gray,enlarging,grasses,11,edible
bell,white,no,almond,crowded,black,enlarging,urban,9,poisonous
conical,gray,yes,foul,close,buff,enlarging,grasses,10,edible
flat,gray,yes,almond,distant,gray,enlarging,paths,15,poisonous
knobbed,brown,no,pungent,distant,buff,tapering,woods,2,edible
sunken,brown,no,foul,crowded,gray,tapering,grasses,6,edible
conical,brown,no,none,crowded,gray,enlarging,woods,12,poisonous
conical,brown,no,fishy,crowded,black,tapering,paths,9,poisonous
bell,gray,no,pungent,close,buff,tapering,woods,10,poisonous
bell,gray,no,none,crowded,gray,tapering,paths,8,poisonous
flat,yellow,yes,foul,crowded,gray,enlarging,grasses,8,poisonous
flat,brown,yes,none,distant,gray,enlarging,urban,8,poisonous
flat,gray,yes,almond,distant,brown,tapering,urban,14,poisonous
knobbed,yellow,yes,none,crowded,black,tapering,meadows,3,poisonous
conical,brown,no,foul,crowded,brown,tapering,grasses,7,edible
sunken,red,yes,foul,distant,brown,tapering,meadows,14,edible
knobbed,brown,no,pungent,close,black,enlarging,grasses,13,edible
conical,red,no,pungent,crowded,chocolate,enlarging,meadows,5,edible
bell,red,yes,fishy,crowded,buff,tapering,paths,4,edible
sunken,gray,no,pungent,crowded,buff,enlarging,woods,12,edible
sunken,brown,yes,fishy,distant,chocolate,tapering,grasses,5,poisonous
sunken,brown,yes,none,close,brown,enlarging,grasses,5,poisonous
sunken,yellow,no,almond,close,brown,enlarging,paths,4,edible
conical,brown,no,pungent,distant,brown,tapering,grasses,2,poisonous
bell,brown,yes,none,crowded,brown,tapering,urban,9,edible
bell,gray,no,almond,distant,black,tapering,urban,4,edible
conical,white,yes,pungent,close,gray,tapering,meadows,9,poisonous
conical,yellow,no,none,distant,chocolate,enlarging,woods,14,poisonous
sunken,yellow,no,almond,close,buff,enlarging,woods,11,edible
bell,brown,yes,fishy,distant,black,tapering,urban,8,poisonous
bell,white,no,almond,close,chocolate,enlarging,meadows,2,poisonous
conical,yellow,yes,fishy,distant,chocolate,enlarging,woods,3,poisonous
flat,gray,no,pungent,distant,brown,enlarging,paths,10,edible
sunken,red,yes,almond,distant,gray,tapering,meadows,10,edible
sunken,red,no,pungent,crowded,brown,tapering,grasses,11,edible
flat,white,yes,none,distant,buff,enlarging,woods,4,edible
flat,white,yes,fishy,crowded,brown,tapering,urban,10,poisonous
flat,gray,yes,none,close,black,tapering,meadows,8,poisonous
conical,gray,yes,pungent,close,chocolate,enlarging,woods,9,edible
knobbed,yellow,no,none,crowded,gray,tapering,grasses,15,poisonous
flat,yellow,no,none,close,brown,tapering,meadows,5,poisonous
flat,gray,yes,fishy,distant,gray,tapering,paths,15,edible
flat,white,yes,pungent,distant,buff,tapering,urban,1,edible
sunken,red,no,foul,distant,black,tapering,paths,14,poisonous
knobbed,yellow,no,none,close,gray,tapering,meadows,2,poisonous
knobbed,gray,yes,fishy,distant,chocolate,enlarging,meadows,1,poisonous
sunken,red,yes,fishy,close,chocolate,tapering,woods,2,edible
conical,white,no,almond,distant,brown,tapering,meadows,11,edible
knobbed,brown,yes,none,crowded,black,tapering,woods,5,edible
sunken,gray,no,none,close,buff,enlarging,meadows,7,edible
conical,gray,no,fishy,close,gray,tapering,meadows,4,edible
bell,white,yes,none,close,black,enlarging,paths,7,poisonous
conical,white,no,none,crowded,brown,tapering,paths,8,poisonous
flat,white,yes,fishy,close,brown,tapering,meadows,11,poisonous
bell,brown,yes,foul,close,buff,enlarging,grasses,6,edible
sunken,yellow,no,none,close,buff,enlarging,meadows,10,edible
bell,red,yes,foul,crowded,black,enlarging,meadows,11,poisonous
flat,brown,yes,fishy,crowded,buff,tapering,grasses,1,poisonous
sunken,brown,no,none,distant,black,tapering,woods,7,poisonous
conical,red,yes,almond,crowded,black,enlarging,meadows,2,edible
bell,yellow,no,none,distant,brown,enlarging,meadows,8,poisonous
sunken,brown,yes,fishy,close,chocolate,tapering,meadows,2,poisonous
bell,yellow,yes,none,close,chocolate,tapering,woods,6,edible
sunken,yellow,no,foul,crowded,brown,enlarging,urban,14,poisonous
sunken,gray,yes,fishy,distant,buff,enlarging,paths,13,poisonous
flat,gray,no,pungent,crowded,brown,enlarging,grasses,4,edible
conical,white,yes,pungent,close,gray,tapering,urban,10,edible
bell,yellow,no,foul,close,brown,tapering,meadows,13,edible
bell,yellow,no,foul,close,black,enlarging,paths,12,poisonous
flat,white,yes,almond,distant,black,tapering,meadows,2,edible
sunken,red,no,almond,distant,chocolate,enlarging,woods,5,poisonous
flat,white,yes,almond,distant,black,tapering,grasses,2,poisonous
conical,yellow,no,pungent,distant,buff,tapering,paths,12,poisonous
bell,brown,no,fishy,distant,buff,tapering,woods,11,edible
conical,red,no,foul,crowded,buff,tapering,urban,7,edible
flat,brown,yes,none,crowded,buff,tapering,woods,10,poisonous
knobbed,red,yes,foul,distant,gray,enlarging,woods,14,poisonous
conical,brown,no,none,distant,chocolate,enlarging,meadows,2,edible
sunken,white,no,almond,distant,black,enlarging,urban,3,poisonous
flat,white,yes,foul,crowded,brown,tapering,urban,11,poisonous
knobbed,white,no,pungent,distant,buff,enlarging,grasses,4,edible
flat,white,no,almond,close,gray,tapering,woods,8,poisonous
conical,brown,yes,foul,distant,brown,tapering,grasses,5,edible
flat,red,no,pungent,distant,black,enlarging,paths,2,poisonous
sunken,gray,no,none,crowded,gray,tapering,meadows,1,poisonous
conical,gray,no,pungent,close,brown,enlarging,urban,13,edible
bell,white,no,fishy,distant,buff,tapering,paths,13,edible
bell,brown,yes,almond,close,chocolate,enlarging,meadows,13,edible
flat,red,no,almond,crowded,buff,tapering,grasses,14,poisonous
bell,yellow,no,none,close,black,enlarging,paths,1,edible
flat,yellow,yes,none,close,chocolate,enlarging,urban,8,poisonous
flat,red,yes,fishy,distant,black,enlarging,meadows,4,poisonous
sunken,yellow,no,almond,crowded,brown,enlarging,meadows,7,edible
knobbed,gray,no,none,crowded,chocolate,tapering,urban,13,poisonous
conical,white,no,fishy,distant,brown,enlarging,meadows,7,edible
sunken,gray,yes,almond,crowded,black,enlarging,grasses,12,edible
sunken,gray,yes,almond,crowded,chocolate,tapering,paths,12,poisonous
knobbed,yellow,no,fishy,distant,brown,tapering,woods,15,edible
sunken,white,yes,almond,crowded,chocolate,enlarging,urban,4,edible
bell,white,no,almond,crowded,black,tapering,woods,11,poisonous
conical,gray,no,almond,close,chocolate,tapering,paths,15,edible
sunken,white,no,foul,close,gray,enlarging,urban,1,edible
sunken,yellow,no,almond,distant,chocolate,tapering,paths,15,poisonous
bell,gray,no,pungent,close,black,enlarging,urban,9,edible
bell,white,no,almond,distant,buff,tapering,urban,8,poisonous
flat,brown,yes,fishy,crowded,brown,enlarging,meadows,11,edible
bell,white,yes,pungent,close,gray,tapering,meadows,8,poisonous
bell,gray,yes,foul,distant,gray,tapering,grasses,5,edible
bell,gray,no,almond,crowded,gray,enlarging,meadows,13,poisonous
flat,yellow,no,almond,distant,brown,tapering,paths,5,poisonous
conical,white,no,foul,close,brown,enlarging,woods,9,edible
sunken,red,no,pungent,close,black,tapering,grasses,9,poisonous
conical,brown,yes,pungent,distant,chocolate,enlarging,meadows,7,poisonous
bell,yellow,no,fishy,close,brown,enlarging,meadows,9,edible
knobbed,white,yes,none,distant,chocolate,tapering,grasses,6,edible
bell,gray,yes,almond,distant,chocolate,tapering,meadows,14,poisonous
knobbed,red,yes,fishy,close,chocolate,enlarging,paths,14,edible
bell,gray,yes,almond,close,gray,tapering,urban,10,poisonous
sunken,brown,yes,foul,crowded,buff,enlarging,woods,14,edible
conical,red,no,pungent,distant,buff,tapering,meadows,2,edible
flat,white,yes,almond,distant,gray,enlarging,paths,4,poisonous
flat,red,yes,fishy,close,black,tapering,paths,14,poisonous
sunken,gray,no,pungent,crowded,buff,enlarging,grasses,2,poisonous
flat,yellow,no,pungent,crowded,black,enlarging,meadows,5,poisonous
knobbed,red,no,fishy,crowded,chocolate,tapering,meadows,8,poisonous
conical,yellow,yes,foul,distant,brown,tapering,woods,7,poisonous
conical,red,yes,foul,distant,gray,tapering,woods,12,edible
conical,red,yes,almond,close,black,tapering,paths,7,poisonous
sunken,brown,no,almond,crowded,brown,enlarging,grasses,15,edible
knobbed,gray,yes,fishy,close,black,tapering,paths,12,edible
sunken,white,no,none,close,chocolate,enlarging,urban,5,edible
knobbed,brown,yes,none,close,brown,tapering,meadows,8,poisonous
knobbed,gray,yes,fishy,distant,gray,tapering,meadows,13,poisonous
sunken,brown,yes,foul,crowded,brown,enlarging,grasses,8,poisonous
sunken,brown,yes,pungent,close,buff,tapering,paths,15,poisonous
sunken,white,no,pungent,distant,gray,enlarging,woods,1,edible
knobbed,brown,yes,none,distant,brown,tapering,woods,3,edible
bell,brown,yes,fishy,distant,chocolate,tapering,grasses,5,poisonous
bell,brown,no,none,close,chocolate,enlarging,urban,8,edible
conical,yellow,yes,pungent,close,buff,tapering,paths,5,edible
flat,brown,yes,none,distant,black,tapering,urban,10,edible
knobbed,gray,yes,none,crowded,chocolate,enlarging,urban,15,poisonous
sunken,brown,no,pungent,distant,black,tapering,paths,14,edible
bell,white,yes,foul,crowded,chocolate,enlarging,urban,9,edible
sunken,yellow,no,almond,crowded,black,tapering,grasses,11,edible
sunken,red,no,none,distant,buff,enlarging,grasses,10,edible
flat,red,no,foul,close,chocolate,tapering,grasses,11,poisonous
sunken,yellow,yes,pungent,distant,gray,enlarging,grasses,7,poisonous
knobbed,white,yes,fishy,distant,brown,enlarging,paths,13,edible
conical,brown,yes,none,close,chocolate,enlarging,urban,13,poisonous
sunken,gray,yes,none,crowded,black,tapering,meadows,6,poisonous
knobbed,yellow,yes,fishy,crowded,buff,enlarging,urban,14,edible
conical,red,no,almond,crowded,black,tapering,grasses,13,edible
sunken,yellow,no,foul,crowded,brown,enlarging,paths,12,poisonous
conical,red,no,fishy,close,black,enlarging,urban,7,poisonous
sunken,white,no,pungent,close,chocolate,enlarging,paths,10,edible
conical,white,no,almond,crowded,chocolate,enlarging,paths,11,poisonous
knobbed,gray,yes,fishy,close,buff,tapering,woods,3,edible
bell,red,no,none,crowded,chocolate,tapering,urban,10,edible
flat,white,yes,pungent,distant,buff,enlarging,paths,12,edible
knobbed,white,yes,fishy,distant,buff,tapering,woods,9,poisonous
knobbed,white,yes,almond,distant,gray,enlarging,grasses,4,poisonous
knobbed,white,yes,foul,distant,brown,enlarging,grasses,1,edible
flat,white,yes,foul,distant,black,enlarging,grasses,13,edible
conical,white,no,foul,distant,brown,enlarging,grasses,11,edible
conical,red,no,almond,distant,black,enlarging,urban,15,poisonous
sunken,white,no,foul,crowded,buff,tapering,meadows,12,poisonous
conical,yellow,yes,almond,crowded,gray,enlarging,grasses,1,edible
conical,gray,no,fishy,close,black,tapering,grasses,3,poisonous
conical,gray,no,none,close,black,enlarging,meadows,4,edible
sunken,white,yes,pungent,close,brown,tapering,meadows,12,poisonous
bell,yellow,no,pungent,close,black,tapering,urban,8,edible
knobbed,yellow,yes,pungent,close,gray,tapering,grasses,6,poisonous
conical,white,no,pungent,close,brown,tapering,paths,4,poisonous
conical,red,yes,pungent,crowded,buff,enlarging,meadows,12,poisonous
conical,brown,yes,none,close,gray,enlarging,paths,13,edible
bell,gray,no,fishy,crowded,black,enlarging,urban,2,poisonous
bell,yellow,no,pungent,distant,buff,enlarging,paths,1,edible
conical,brown,no,pungent,close,gray,enlarging,urban,5,poisonous
sunken,red,yes,almond,close,gray,tapering,woods,6,edible
sunken,brown,yes,foul,distant,buff,tapering,meadows,9,edible
sunken,brown,no,none,close,gray,enlarging,paths,10,edible
conical,white,no,none,distant,gray,enlarging,paths,13,poisonous
conical,white,no,fishy,distant,buff,tapering,meadows,2,edible
flat,red,no,none,close,black,enlarging,urban,11,edible
sunken,white,no,almond,distant,black,enlarging,grasses,7,edible
bell,brown,yes,pungent,close,brown,tapering,woods,12,poisonous
bell,red,yes,foul,distant,brown,enlarging,woods,2,poisonous
flat,red,yes,fishy,close,gray,tapering,woods,4,edible
knobbed,brown,yes,almond,crowded,chocolate,tapering,woods,11,edible
bell,gray,no,foul,distant,chocolate,enlarging,meadows,3,poisonous
bell,red,no,pungent,distant,brown,enlarging,urban,5,edible
conical,white,no,pungent,crowded,gray,enlarging,woods,15,edible
bell,white,yes,foul,distant,black,enlarging,urban,13,edible
knobbed,brown,yes,fishy,crowded,buff,enlarging,meadows,9,edible
conical,yellow,yes,pungent,close,chocolate,tapering,woods,4,poisonous
sunken,brown,yes,pungent,crowded,buff,enlarging,woods,14,edible
conical,brown,yes,none,close,gray,enlarging,urban,2,edible
flat,gray,yes,pungent,distant,chocolate,tapering,woods,10,edible
bell,yellow,no,none,close,black,tapering,grasses,9,poisonous
conical,yellow,no,almond,distant,gray,tapering,meadows,4,poisonous
bell,gray,yes,pungent,distant,black,tapering,woods,2,poisonous
bell,gray,yes,pungent,close,chocolate,enlarging,woods,5,poisonous
flat,yellow,no,almond,distant,brown,tapering,urban,9,edible
sunken,brown,yes,pungent,distant,chocolate,tapering,paths,6,edible
conical,white,yes,foul,crowded,chocolate,enlarging,meadows,3,poisonous
conical,brown,no,pungent,close,black,enlarging,meadows,12,poisonous
knobbed,yellow,yes,almond,distant,brown,tapering,paths,1,edible
bell,red,no,none,close,brown,enlarging,urban,5,poisonous
sunken,yellow,no,almond,close,chocolate,enlarging,grasses,13,poisonous
sunken,gray,no,none,distant,brown,enlarging,urban,5,poisonous
sunken,white,no,foul,crowded,gray,tapering,paths,10,poisonous
bell,red,no,pungent,distant,black,tapering,grasses,11,poisonous
sunken,red,yes,pungent,crowded,gray,tapering,urban,13,edible
conical,yellow,yes,fishy,close,buff,enlarging,paths,4,edible
flat,gray,no,almond,crowded,chocolate,enlarging,meadows,8,edible
bell,red,no,almond,close,gray,tapering,paths,7,edible
knobbed,white,no,none,distant,black,tapering,meadows,8,poisonous
knobbed,yellow,yes,foul,distant,black,tapering,meadows,4,poisonous
knobbed,brown,yes,fishy,distant,brown,enlarging,urban,13,poisonous
bell,white,yes,pungent,distant,gray,tapering,urban,6,poisonous
knobbed,red,no,foul,close,chocolate,tapering,grasses,5,edible
knobbed,white,no,foul,close,brown,enlarging,woods,8,edible
sunken,gray,yes,none,close,brown,enlarging,grasses,12,edible
flat,brown,yes,none,close,black,tapering,urban,2,poisonous
sunken,red,no,pungent,crowded,brown,tapering,paths,5,poisonous
bell,brown,yes,fishy,close,chocolate,tapering,urban,11,edible
sunken,yellow,yes,none,distant,black,enlarging,paths,12,edible
sunken,yellow,no,almond,crowded,buff,tapering,woods,3,edible
sunken,white,no,foul,close,buff,tapering,meadows,11,poisonous
knobbed,white,no,almond,close,chocolate,tapering,woods,6,poisonous
sunken,brown,no,almond,close,black,tapering,meadows,1,poisonous
sunken,red,no,fishy,close,gray,tapering,paths,15,edible
sunken,gray,no,fishy,crowded,brown,enlarging,paths,12,edible
knobbed,brown,no,almond,crowded,brown,tapering,woods,6,poisonous
flat,white,no,foul,crowded,gray,enlarging,grasses,4,edible
conical,gray,yes,fishy,distant,brown,tapering,paths,2,poisonous
conical,white,yes,fishy,distant,black,tapering,woods,8,poisonous
bell,brown,yes,pungent,crowded,gray,enlarging,paths,14,poisonous
bell,yellow,yes,pungent,distant,buff,enlarging,woods,3,edible
bell,gray,no,none,distant,chocolate,enlarging,paths,7,poisonous
bell,white,yes,fishy,close,gray,tapering,paths,15,edible
flat,brown,yes,pungent,crowded,chocolate,enlarging,paths,12,edible
sunken,red,no,pungent,crowded,black,enlarging,woods,11,poisonous
conical,white,yes,foul,crowded,buff,enlarging,grasses,4,edible
flat,red,yes,foul,close,gray,enlarging,woods,9,poisonous
bell,brown,yes,none,close,brown,tapering,meadows,13,poisonous
conical,red,no,fishy,crowded,brown,enlarging,meadows,12,poisonous
sunken,gray,no,almond,distant,gray,tapering,meadows,12,edible
conical,yellow,no,pungent,crowded,buff,tapering,meadows,7,poisonous
sunken,brown,yes,none,crowded,buff,tapering,paths,1,edible
sunken,yellow,yes,pungent,crowded,black,enlarging,meadows,14,edible
